file,leaves,fruits,flowers,split
b7334b4c-0416-47c1-8637-20467e4cf0b4.jpg,1,U,U,eval
9806a8b6-1f3f-425b-81bc-7455f765ecc9.jpg,1,0,0,eval
a6f67436-3734-443c-9c70-a6d159e56a85.jpg,1,1,1,eval
0db49ec0-e2c0-4b19-9fa6-92c817b6c690.jpg,0,0,0,eval
26fc9b19-a9c2-40ce-b96f-41a2b76c266d.jpg,1,0,1,eval
65fadf26-96d4-4578-a3ad-44d7c86bfdcb.jpg,1,0,0,eval
95d5f24e-35ef-4242-8de4-50ea39a9d281.jpg,1,1,0,eval
cf63fe75-aefb-4d16-a847-704a3602d509.jpg,1,1,0,eval
75bf97c2-b0e2-41ae-abb8-42c86d42fe03.jpg,1,1,0,eval
5c01bc51-6d38-479b-87e9-4c6ef37b3ed5.jpg,1,U,1,eval
1805df87-7793-4fb5-88ea-5685e8aa25c4.jpg,1,1,0,eval
713e8f65-1bbd-4965-944d-8b1ddb620059.jpg,1,0,1,eval
ffd18f2d-9e4e-43bc-8805-7fd7cde1b262.jpg,1,1,1,eval
c4092f5c-91bf-46af-885f-fadbce97faab.jpg,1,0,0,eval
2433b429-e53b-4010-b242-ca2d889cd0d1.jpg,1,1,1,eval
fb418161-24d7-48c3-8835-feb0798c7438.jpg,1,0,1,eval
df56db06-8584-42f9-a8e0-0f5b7e37dc38.jpg,1,0,1,eval
1e1b6291-adb3-4d18-b932-3683e804800d.jpg,1,1,1,eval
3f73c471-93d7-4a71-b4c1-a0ca4e051e14.jpg,1,0,1,eval
a23a2564-a03f-4dd2-9fd5-d7c13e1b31a6.jpg,1,U,U,eval
0133930f-7cf3-4895-b20c-8241f592e8e8.jpg,1,0,1,eval
b9fb7547-6206-4081-8982-423d19d574ad.jpg,1,0,0,eval
b7fe5f33-0956-4d09-83b5-1cb137abd3a2.jpg,1,1,0,eval
68066fa7-e28f-475c-b133-860cb979d3e8.jpg,1,1,1,eval
b13a7bf4-9e33-4279-b4b3-8d639fdf5d65.jpg,1,1,0,eval
a4a73901-2957-4757-899d-cb03174a4ca6.jpg,N,N,N,eval
a9be0719-e569-4a96-81c7-c60a513cb413.jpg,1,0,0,eval
df405954-0438-4255-b41d-2b67cb65d084.jpg,1,1,1,eval
a054bfc4-d319-444e-9198-f5eb0ddbd242.jpg,1,0,0,eval
7acb9f4e-f648-4217-99e4-569a00022975.jpg,1,0,0,eval
88f5e4bb-2375-4cd4-929f-656c741e78e6.jpg,1,0,0,eval
5b8f5984-9df4-4108-9cad-1bb5cb69d805.jpg,1,0,1,eval
a50ed40c-4d03-4091-908c-bdee79224651.jpg,1,0,1,eval
2518fc8c-4a6c-4db7-bbf8-708ef7e7de08.jpg,1,0,1,eval
4cce4982-87c9-4f6d-8832-369ce50c88f8.jpg,1,1,1,eval
d3b9314f-afbb-45d9-826d-80bafcbc5d4e.jpg,1,1,1,eval
fd9bdca0-6891-49f7-a66c-1163f7d1011f.jpg,1,U,U,eval
4a0714a9-3001-489e-9c63-aaae79c38dd0.jpg,1,1,1,eval
d7c163cf-ec52-4c30-8a31-413c26dca1e7.jpg,1,1,1,eval
42be94ab-4567-4fe1-bc1a-08c1ee38a8fc.jpg,1,0,0,eval
ed15e756-bf4f-4922-bb82-ca4b580d793a.jpg,1,0,0,eval
