file,flowers,fruits,leaves,reproductive_structure,whole_plant,time
000acc4e-1d03-4745-bc2b-91c140606375.jpg,U,U,0,1,0,11.995171542000001
00391e45-4490-40cd-83e8-fd6547ccd1ae.jpg,0,1,0,1,0,8.389470082999992
00664c1c-38e8-4101-bd7f-931aae5327ee.jpg,0,1,1,1,0,5.584186833000004
00949824-52be-4603-a020-c3844af5f87d.jpg,1,U,1,1,1,27772.153132501
00b8ef6c-cf12-4c32-b4bc-9e8f4ccb8627.jpg,U,U,1,1,1,4.1918987079989165
00def73a-9867-48df-9303-b989788441e6.jpg,1,1,1,1,1,10.097823125001014
00f78489-0854-4227-906c-273866031c27.jpg,U,U,1,1,0,480.34468745898994
01097733-bb3c-4229-a68e-f556399767a5.jpg,1,1,1,1,0,5.4561544170028355
011ed566-d803-468d-b402-934beae15553.jpg,0,1,1,1,0,8.273665833999985
0140e4ed-573c-423c-a968-530de4b6d4a5.jpg,1,1,1,1,1,5.910949958997662
0161230b-0148-4692-84a3-95e6ff972912.jpg,0,0,1,0,0,2.0233101659978274
01785c03-1f7a-4148-9982-8467e2c4a003.jpg,1,1,1,1,0,3.8572790420003003
019a1c00-cf02-4336-ac30-008db5d677c5.jpg,1,U,1,1,1,19.211443500000314
01bcfb71-275e-4551-970f-a63c0e06e26f.jpg,1,0,1,1,1,156.25124570800472
01e9429e-f347-4278-8f76-c5abad3de6f4.jpg,1,0,1,1,1,11.401230333001877
020ff22b-6db6-4168-b1b5-7c752ebc6573.jpg,1,0,1,1,0,8.406586208002409
022801fe-6558-4e33-99be-2de50a609d4a.jpg,0,0,1,0,1,8.353167499997653
02415fc6-951a-41e4-8756-9011ee91988b.jpg,1,1,1,1,1,125.28855629200189
026cc096-02f3-4643-98ce-9776fbe220fc.jpg,1,1,1,1,0,387.9471006670002
0292a00e-6301-4798-be42-8ba2d86fcae7.jpg,0,0,1,0,0,93.30220329100001
02ac1058-5ba8-4403-8c92-efdba31b1646.jpg,0,0,1,0,0,4.341208624999979
02cd59e8-9709-4fb9-8aeb-253eb31f5587.jpg,0,1,1,1,1,106.02018950200045
02e8a9da-d3aa-4d46-9513-e50eaf837c26.jpg,1,1,1,1,0,123.14966520799999
0308006e-0fb0-4f6d-8153-149c088421f5.jpg,0,0,1,0,1,3.8702829169999973
032eabe4-03a7-44e4-81c1-05a88ab14b5c.jpg,0,1,1,1,0,4.972135207999997
03681e23-2b96-40ed-b42d-04285c79fe26.jpg,1,1,1,1,0,8.527632457999971
038becf2-df6e-4f29-b32a-9342495db061.jpg,U,U,1,1,1,11.770835750000003
03ba1f7e-0ccf-44b7-ac81-c4f75cf58175.jpg,1,0,1,1,1,10.787804542000003
03dc4510-a994-4dc4-9af7-33db85957a35.jpg,1,0,1,1,1,174.58069550102886
040943e4-06f8-4b7c-beeb-7b7a8a71b515.jpg,0,1,1,1,1,57.90299979199938
0433fccb-e693-4e17-9a12-5147b3b3fe30.jpg,0,0,1,0,0,5.467597500000011
0459ffed-3ca4-4273-9b09-6b5d18a2d66f.jpg,0,1,1,1,0,3.9029502919999572
04779529-a762-406c-94fc-c768b0e258aa.jpg,1,1,1,1,1,5.0878916249999975
04b54ba3-dc82-4294-b532-9832e1a668f5.jpg,1,1,1,1,0,5.34418854200004
04e0a8b4-1c06-4e36-ae06-16f5c75b388f.jpg,1,1,1,1,1,11.681601792000038
04efec75-7c18-4af5-b577-6ca02e6fea1b.jpg,1,1,1,1,1,8.038383959000043
051471ae-8f44-458f-99f4-8dc5afe45679.jpg,1,1,1,1,1,6.602559665999934
054a8993-8588-4d8a-b6fa-4b3724de85f5.jpg,0,1,1,1,0,117.83832524999491
056c2a2d-cf2a-4b1f-86a4-6a596f2b4194.jpg,1,U,1,1,0,6.833587749999992
058f6000-a70a-459e-811a-1f7264f04978.jpg,0,1,1,1,0,18.027216874999908
05bedde9-4c6b-414b-a97c-55d0352356fb.jpg,1,0,1,1,0,6.684370375000071
05ed33aa-3cef-45f4-930a-c7a92e9d82a3.jpg,0,0,1,0,0,1.860158124999998
06159e6d-c95d-4ee6-bc77-a226748f6a1b.jpg,1,1,1,1,0,8.67011637500002
06440fa7-f4ad-4f04-b7d1-d2f405176e74.jpg,0,0,1,0,0,6.45604112500007
065eb88f-125e-4e24-abc7-8538031312f7.jpg,1,U,1,1,1,41.805376207006134
