file,reproductive_structure,leaves,fruits,flowers,whole_plant,time
002a9914-24de-4a18-88b8-c50cbbf9cc41.jpg,1,1,1,0,0,19.525263832999272
00e1e9c0-f59f-499a-8f36-9a4e6c5e6585.jpg,1,1,0,1,1,106.91888403999465
0100d1f7-ad31-43de-b1bf-0670f2b45834.jpg,1,1,U,1,1,219.76805291598956
0110950f-a8ba-4749-a67b-46ff056d9211.jpg,0,1,0,0,1,4.865344416999989
0133930f-7cf3-4895-b20c-8241f592e8e8.jpg,1,1,0,1,1,34.35158475000091
013f36bb-99bd-4aea-a1e9-d3f11819b2d0.jpg,1,1,0,1,1,69.40075391600013
014a173a-6b50-4dd7-8d69-8cae42d26ca0.jpg,1,1,0,1,0,5.30330112499999
015198d6-cc4f-4b05-9e10-5232b3c0fa47.jpg,1,1,1,0,0,4.182336416999988
0185eb5e-348a-4769-9654-8c39107a0470.jpg,1,1,1,0,0,3.0713687920000154
01d0da0d-9435-407f-891b-fcd57b8ad809.jpg,0,1,0,0,0,4.579627791999997
01f760aa-2b22-4ec2-9313-9608cff39545.jpg,1,1,1,1,1,6.52143537500001
02117f87-f723-4090-ab0f-ed00a6cbe5b7.jpg,0,1,0,0,0,4.047422041999994
021ffb4d-f426-411b-870d-b3e8121eee16.jpg,1,1,0,1,1,10.970990833999991
0221f623-6724-4477-8c0e-d7782f98ca8e.jpg,1,1,1,1,0,105.82695174998338
023a9933-81f7-4d8d-81c7-ac07a80d21db.jpg,1,1,1,1,0,40.18148004299999
023dea82-c60a-46c6-93db-28361e9e61eb.jpg,1,1,0,1,1,308.62799158399497
0276be59-b42f-4122-90a3-e675bf5de252.jpg,1,1,U,1,1,196.71256629199067
0299b90e-2d47-477f-983b-bda78c23ef2a.jpg,0,1,0,0,0,3.4387091250000026
02b1c41b-f034-4f6d-b49e-4e467a7f3844.jpg,1,1,1,1,1,20206.329698248992
02b9fcc9-d191-407f-ac96-e56533977afe.jpg,1,1,1,0,0,11.370174292000002
02dfa43e-6a4c-4d8a-8452-09ab3c28ac07.jpg,N,N,N,N,N,2.994807375000022
031faf2e-6f71-4583-9113-8bc5a9f9551f.jpg,1,0,0,1,0,16.310570499999983
035f229a-a1e4-4f05-aa16-cd7ff374438c.jpg,1,1,1,0,0,24.820881500009477
0362ad02-1b2c-4cf6-8569-0f1fc653b527.jpg,1,1,0,1,0,60.764582166992966
037d8863-c1e0-44bd-96e7-de417914805e.jpg,0,1,0,0,0,39.55137012599596
03b004a0-2e68-45dc-953b-cb1efb35f5c0.jpg,0,1,0,0,0,217.12099204199995
03cdeae8-da77-4e71-8ef9-2dd52db5d2b2.jpg,1,1,U,1,0,9282.126919875018
03d2fa26-8edc-4b44-ae36-e11785eac296.jpg,1,1,0,1,1,35.99370287399648
03f0af6d-9dfb-4256-87d4-84fc162a8a57.jpg,1,1,1,0,0,126.45310633301091
041d5a1c-8956-46be-a5c8-b56fd0be3818.jpg,1,1,1,1,0,21.910578125998597
0429e16b-58bc-4fef-a698-6f45ff03c601.jpg,1,1,0,1,0,24.348624958000016
